508 504
D:507 505 508
D:505 504 510
D:504 504 507
D:502 504 504
D:508 504 504
D:510 504 508
D:512 504 508
D:508 505 505
D:508 505 504
D:505 504 505
D:508 504 510
D:508 505 508
D:508 505 504
D:502 504 504
D:500 504 505
D:510 504 508
D:512 508 504
D:508 508 504
D:505 508 504
D:505 508 508
D:508 505 508
D:506 505 505
D:504 505 504
D:500 504 508
D:505 504 511
D:511 507 511
D:511 508 505
D:508 508 505
D:505 504 510
D:508 505 510
D:507 505 508
D:505 508 504
D:504 506 508
D:508 505 511
D:508 505 508
D:508 506 504
D:505 507 504
D:504 508 505
D:504 508 511
D:505 508 510
D:499 508 505
D:499 506 504
D:507 504 508
D:510 504 510
D:508 507 508
D:504 508 504
D:506 508 505
D:510 505 511
D:512 504 510
D:508 504 508
D:504 505 506
D:505 504 508
D:505 504 508
D:505 504 508
D:505 504 507
D:504 508 506
D:504 504 512
D:508 504 513
D:509 505 511
D:507 506 508
D:504 508 510
D:508 504 512
D:510 505 511
D:505 506 508
D:504 508 505
D:504 508 508
D:504 505 511
D:511 506 511
D:510 505 506
D:507 506 505
D:508 504 511
D:510 504 512
D:508 505 510
D:501 504 506
D:506 508 507
D:507 508 512
D:508 505 512
D:508 504 508
D:502 506 505
D:502 504 508
D:507 505 511
D:508 508 508
D:508 508 504
D:508 508 504
D:505 506 508
D:507 505 508
D:508 508 505
D:508 508 502
D:504 506 504
D:505 505 508
D:508 508 508
D:507 508 504
I:a b c
D:502 508 504
D:508 507 508
D:511 506 508
D:511 508 505
D:505 508 504
D:504 508 508
D:504 504 510
D:505 504 510
D:504 505 508
D:499 505 508
D:499 508 511
D:518 504 512
D:515 507 508
D:510 504 505
D:506 504 505
D:506 504 510
D:508 504 511
D:508 508 510
D:506 508 508
D:504 508 511
D:504 508 513
D:510 508 512
D:508 510 510
D:504 510 508
D:504 508 508
D:510 505 511
D:510 504 508
D:504 508 504
D:504 508 504
D:504 508 510
D:510 504 508
D:508 505 504
D:504 508 502
D:504 507 504
D:505 505 506
D:508 506 505
D:506 507 504
D:504 504 504
D:504 504 505
D:505 502 508
D:508 504 504
D:505 507 504
D:500 508 505
D:504 505 508
D:510 504 510
D:504 504 504
D:508 505 504
D:507 507 504
D:508 507 508
D:508 508 505
D:508 508 504
D:504 508 504
D:504 506 504
D:508 504 508
D:510 505 504
D:506 505 500
D:506 507 504
D:505 504 509
D:508 504 512
D:508 504 508
D:504 505 508
D:504 506 511
D:508 508 515
D:511 504 515
D:508 505 510
D:505 505 510
D:505 504 512
D:508 504 513
D:508 504 510
D:505 506 505
D:504 504 508
D:504 504 510
D:505 504 511
D:510 507 508
D:504 508 504
D:504 509 504
D:511 508 505
D:508 508 504
D:506 508 502
D:505 508 499
D:505 505 504
D:508 504 508
D:508 505 505
D:507 506 502
D:504 505 504
D:502 504 508
D:505 504 505
D:507 504 504
D:506 504 504
D:504 505 505
D:502 505 508
D:508 504 508
D:505 506 504
D:504 506 502
D:507 505 505
D:510 505 508
D:505 508 508
D:508 508 504
D:504 508 504
D:504 508 511
I:a b c
D:512 508 511
D:513 508 508
D:507 508 508
D:505 508 512
D:508 504 513
D:508 508 510
D:505 508 508
D:504 505 508
D:507 505 510
D:508 504 512
D:505 502 505
D:504 499 504
D:505 499 507
D:510 504 510
D:510 508 510
D:504 510 508
D:502 510 508
D:508 508 510
D:508 510 508
D:504 511 504
D:499 511 499
D:499 508 499
D:508 505 505
D:514 504 508
D:512 505 504
D:507 508 502
D:504 505 505
D:505 504 508
D:508 504 508
D:507 504 504
D:504 505 504
D:504 505 505
D:505 505 508
D:507 506 508
D:504 505 504
D:504 505 505
D:505 504 510
D:508 505 511
D:508 508 508
D:504 508 505
D:504 508 508
D:508 504 512
D:508 507 511
D:512 513 511
D:508 510 508
D:508 507 511
D:508 508 516
D:512 505 510
D:508 508 508
D:507 508 508
D:509 508 513
D:508 506 512
D:508 510 508
D:508 510 504
D:510 508 508
D:513 507 511
D:511 508 512
D:508 508 509
D:504 508 508
D:507 505 511
D:510 505 512
D:507 508 508
D:504 508 504
D:499 507 508
D:508 504 511
D:510 504 508
D:513 508 506
D:508 508 504
D:504 507 505
D:504 504 508
D:505 504 505
D:502 505 504
D:504 508 502
D:504 510 508
D:511 504 508
D:514 504 505
D:513 508 504
D:513 508 504
D:510 505 505
D:508 508 505
D:510 508 504
D:506 508 505
D:508 504 510
D:508 502 508
D:508 504 509
D:508 509 505
D:504 508 508
D:504 507 511
D:509 504 511
D:506 502 510
D:505 504 508
D:508 504 509
D:508 501 511
D:505 500 510
D:511 505 505
D:508 507 504
D:505 507 506
D:508 505 508
D:508 507 508
D:504 508 504
I:a b c
D:502 508 504
D:508 507 505
D:513 505 507
D:511 508 504
D:508 508 501
D:505 508 504
D:508 504 510
D:508 504 508
D:504 505 504
D:500 507 504
D:502 505 508
D:504 505 510
D:508 507 504
D:504 508 504
D:505 505 504
D:504 504 508
D:508 504 508
D:508 508 504
D:504 508 504
D:504 502 506
D:505 502 508
D:506 504 507
D:504 507 504
D:502 508 504
D:505 508 504
D:508 505 505
D:511 504 504
D:505 506 504
D:504 508 504
D:505 505 511
D:510 504 510
D:508 508 504
D:505 508 504
D:508 505 508
D:508 504 510
D:508 504 508
D:505 504 504
D:504 504 504
D:506 504 508
D:510 504 508
D:509 505 508
D:505 506 505
D:504 507 505
D:505 507 513
D:508 505 511
D:508 508 505
D:504 511 504
D:504 506 507
D:508 504 508
D:510 504 505
D:505 508 504
D:496 508 502
D:507 505 505
D:508 504 508
D:512 504 505
D:510 505 504
D:508 508 504
D:508 510 508
D:508 510 510
D:506 508 506
D:502 508 505
D:502 507 508
D:505 504 511
D:508 504 510
D:504 505 505
D:505 508 504
D:508 507 510
D:507 504 510
D:502 504 508
D:500 508 504
D:508 508 508
D:510 508 510
D:508 507 508
D:508 508 507
D:505 510 508
D:504 505 510
D:504 504 512
D:510 504 511
D:504 507 508
D:508 508 510
D:512 508 513
D:511 508 515
D:506 506 511
D:505 508 508
D:506 504 508
D:508 504 511
D:508 504 510
D:510 508 504
D:505 510 504
D:504 505 508
D:506 504 508
D:508 505 507
D:505 508 504
D:504 508 505
D:504 505 510
D:505 508 510
D:502 507 504
D:504 508 502
D:505 508 505
D:504 506 508
I:a b c
D:510 505 508
D:505 506 504
D:504 505 504
D:504 504 508
D:508 504 508
D:508 505 504
D:504 506 504
D:507 505 504
D:512 504 507
D:512 504 507
D:508 504 505
D:504 505 504
D:505 504 508
D:508 504 511
D:508 504 511
D:505 504 505
D:502 504 508
D:505 504 512
D:510 504 513
D:508 504 510
D:504 508 508
D:504 507 511
D:508 505 515
D:504 505 512
D:512 510 512
D:510 508 508
D:505 506 510
D:511 508 515
D:510 508 511
D:508 505 505
D:508 505 507
D:511 505 508
D:512 507 512
D:510 506 509
D:505 508 508
D:504 505 509
D:505 505 513
D:505 507 511
D:508 513 511
D:508 512 508
D:505 510 508
D:508 510 511
D:510 512 505
D:505 508 504
D:505 510 505
D:511 510 508
D:508 510 508
D:500 510 504
D:499 511 504
D:505 507 504
D:511 505 507
D:511 504 504
D:509 506 501
D:507 508 502
D:504 505 505
D:508 505 508
D:506 505 505
D:504 506 504
D:505 507 505
D:508 504 511
D:508 504 512
D:507 504 506
D:504 506 505
D:504 505 510
D:508 505 512
D:508 504 511
D:507 504 508
D:507 505 508
D:507 505 511
D:508 505 513
D:507 504 511
D:506 505 508
D:505 505 508
D:506 504 511
D:510 505 511
D:508 506 504
D:500 505 504
D:502 504 505
D:510 508 508
D:511 508 505
D:510 508 504
D:508 508 504
D:508 505 508
D:508 504 506
D:504 506 504
D:500 505 504
D:504 505 504
D:502 506 507
D:510 505 507
D:508 507 504
D:504 508 504
