507 511
D:508 504 511
D:511 504 511
D:508 508 510
D:504 510 508
D:504 510 510
D:504 508 512
D:510 504 510
D:510 504 508
D:505 511 508
D:505 510 511
D:510 508 511
D:508 505 510
D:505 508 508
D:504 508 511
D:508 504 512
D:510 504 511
D:510 508 508
D:504 510 508
D:504 505 508
D:507 504 510
D:508 505 508
D:508 507 508
D:504 508 508
D:505 504 510
D:511 499 511
D:511 500 510
D:505 511 508
D:504 512 508
D:504 508 510
D:504 506 510
I:a b c
D:506 507 508
D:504 505 511
D:505 505 514
D:510 504 513
D:511 505 511
D:504 508 511
D:502 508 511
D:510 504 512
D:512 504 512
D:510 505 508
D:505 508 508
D:507 505 510
D:510 504 511
D:508 504 508
D:508 504 508
D:504 508 508
D:504 508 508
D:508 507 510
D:508 507 508
D:505 505 507
D:504 505 507
D:508 504 508
D:510 502 508
D:508 507 506
D:504 506 508
D:504 508 508
D:508 504 510
D:511 504 508
D:505 508 505
D:502 508 508
D:504 505 510
D:504 504 510
D:508 504 507
D:504 508 505
D:505 508 508
D:505 504 511
D:506 504 510
D:511 504 508
D:508 505 508
D:510 504 508
D:511 504 508
D:511 507 508
D:505 510 505
D:504 510 505
D:507 505 508
D:508 502 508
D:508 504 505
D:504 508 505
D:504 508 505
D:504 505 508
D:505 504 508
D:507 508 505
D:504 508 504
D:504 508 506
D:508 504 508
D:510 505 505
D:505 508 504
D:504 506 504
D:508 504 504
D:511 504 505
D:508 505 505
D:500 510 504
D:504 506 507
D:508 504 510
D:511 504 508
D:507 505 508
D:504 510 510
D:504 508 508
D:508 505 511
D:508 505 511
D:505 508 508
D:504 508 510
D:508 505 511
D:510 508 512
D:508 508 511
D:504 508 511
D:502 508 511
D:508 504 511
D:512 505 511
D:508 508 510
D:505 508 510
D:507 506 512
D:505 507 514
D:505 506 512
D:508 508 510
D:504 508 510
D:504 504 511
D:508 504 511
D:507 505 508
D:505 507 508
D:504 505 510
D:507 502 511
D:510 504 511
D:508 507 509
D:504 508 510
D:505 504 512
D:508 504 512
D:508 504 511
D:506 504 511
D:504 507 511
I:a b c
D:508 504 511
D:508 504 510
D:508 508 508
D:504 510 505
D:508 508 508
D:510 504 508
D:508 504 504
D:504 508 504
D:505 508 504
D:508 505 508
D:508 505 508
D:508 505 508
D:504 508 508
D:506 504 510
D:508 504 510
D:511 504 509
D:508 504 508
D:504 508 508
D:505 507 508
D:508 508 511
D:510 508 508
D:504 506 508
D:504 508 508
D:504 508 511
D:508 505 510
D:510 508 508
D:505 508 507
D:504 508 508
D:508 504 509
D:508 504 508
D:510 508 505
D:504 508 505
D:505 508 508
D:511 508 508
D:511 508 507
D:504 508 506
D:504 506 508
D:508 504 510
D:508 505 511
D:510 508 511
D:504 508 510
D:507 508 510
D:510 499 510
D:508 508 510
D:505 512 507
D:504 511 510
D:505 508 510
D:510 504 510
D:508 504 508
D:504 506 508
D:504 504 510
D:504 504 511
D:508 504 510
D:512 504 508
D:508 508 508
D:508 504 510
D:510 502 510
D:511 504 510
D:508 507 510
D:504 510 510
D:504 508 511
D:508 508 512
D:508 509 510
D:504 511 508
D:504 507 508
D:504 504 510
D:505 504 508
D:507 504 505
D:502 506 507
D:504 504 508
D:512 504 510
D:512 504 510
D:508 508 508
D:501 508 510
D:504 507 512
D:511 504 511
D:511 506 510
D:508 508 508
D:505 508 508
D:505 504 511
D:510 505 511
D:508 510 508
D:504 511 508
D:504 508 511
D:508 505 511
D:508 504 511
D:506 508 510
D:504 508 510
D:508 505 512
D:511 504 511
D:511 504 510
D:507 508 508
D:504 508 506
D:504 505 508
D:508 508 508
D:505 510 504
D:505 510 504
D:506 507 507
D:505 499 510
D:510 504 510
I:a b c
D:508 508 508
D:506 510 508
D:511 505 511
D:510 505 510
D:505 504 507
D:504 508 508
D:505 506 508
D:508 506 510
D:511 506 508
D:508 508 505
D:504 510 506
D:504 504 508
D:508 504 508
D:508 507 505
D:504 509 505
D:505 510 508
D:508 505 510
D:508 506 508
D:507 507 505
D:504 508 505
D:504 505 508
D:507 504 508
D:510 505 505
D:508 508 504
D:508 505 504
D:509 504 505
D:512 504 505
D:510 508 504
D:506 509 504
D:504 508 507
D:505 502 507
D:508 504 506
D:507 504 506
D:504 508 508
D:504 504 510
D:509 504 511
D:508 505 510
D:505 506 508
D:502 508 505
D:505 505 510
D:511 504 510
D:507 508 508
D:506 508 508
D:506 504 508
D:510 504 508
D:511 502 508
D:505 506 505
D:502 508 508
D:504 507 508
D:508 508 510
D:508 505 508
D:502 507 508
D:508 508 506
D:508 504 508
D:512 504 510
D:508 505 508
D:504 510 510
D:504 508 511
D:508 504 514
D:508 504 512
D:506 508 510
D:504 508 508
D:505 505 511
D:511 504 511
D:510 508 510
D:505 508 508
D:501 508 508
D:505 504 511
D:510 504 510
D:510 508 510
D:505 511 508
D:504 511 511
D:507 502 512
D:508 502 511
D:506 507 508
D:504 508 508
D:506 506 511
D:510 504 511
D:508 505 508
D:508 508 508
D:505 508 508
D:504 504 508
D:511 505 508
D:511 508 508
D:505 508 508
D:504 504 511
D:508 502 513
D:510 502 511
D:506 504 508
D:504 506 508
D:505 504 509
D:510 502 510
D:510 504 508
D:504 508 508
D:504 506 510
D:506 504 511
D:508 504 512
D:508 504 511
D:504 508 510
D:504 506 511
I:a b c
D:508 504 511
D:512 508 508
D:505 505 505
D:499 504 505
D:505 502 508
D:511 504 510
D:508 506 508
D:508 508 508
D:508 508 511
D:510 505 511
D:510 508 512
D:505 510 510
D:502 510 510
D:505 510 510
D:508 505 510
D:509 505 508
D:505 508 508
D:505 505 504
D:505 500 508
D:508 505 508
D:504 508 508
D:502 511 508
D:504 508 510
D:508 507 511
D:511 506 511
D:508 508 510
D:504 508 508
D:504 505 511
D:511 504 512
D:508 508 510
D:504 510 510
D:502 505 512
D:505 504 513
D:510 506 511
D:511 510 508
D:508 508 510
D:508 504 508
D:508 504 508
D:509 508 508
D:505 508 507
D:504 504 508
D:504 504 510
D:508 504 510
D:508 504 508
D:504 507 508
D:504 504 508
D:508 505 509
D:511 504 510
D:506 505 508
D:502 510 508
D:507 504 510
D:515 505 513
D:510 506 508
D:504 508 508
D:508 511 515
D:510 510 513
D:508 508 511
D:506 510 510
D:508 510 507
