499 502
D:502 504 504
D:502 506 504
D:500 508 505
D:501 504 504
D:501 504 508
D:502 505 511
D:499 505 512
D:500 505 511
D:502 504 511
D:500 502 508
D:502 507 510
D:500 506 511
D:504 504 511
D:504 507 508
D:502 508 508
D:504 508 510
D:504 506 509
D:505 504 508
I:a b c
D:505 505 505
D:506 504 508
D:508 504 505
D:508 501 504
D:508 504 505
D:510 505 507
D:508 505 508
D:510 502 499
D:510 504 510
D:509 505 511
D:508 504 510
D:506 504 506
D:505 499 504
D:504 499 505
D:505 502 494
D:505 504 504
D:504 502 508
D:504 501 507
D:504 502 504
D:502 504 505
D:501 504 504
D:499 499 504
D:500 500 504
D:501 504 504
D:500 504 504
D:501 504 504
D:500 502 504
D:501 504 499
D:500 504 507
D:502 505 508
D:504 508 507
D:502 510 504
D:504 505 508
D:504 507 511
D:504 511 508
D:502 505 505
D:504 508 510
D:501 508 508
D:499 505 508
D:499 504 508
D:500 497 505
D:500 504 505
D:501 511 506
D:502 510 505
D:504 510 505
D:502 508 505
D:502 508 504
D:502 504 510
D:500 501 510
D:501 499 509
D:502 499 510
D:504 504 511
D:504 504 510
D:504 505 508
D:504 504 506
D:504 504 504
D:504 505 504
D:505 508 504
D:504 504 502
D:504 504 500
D:504 505 504
D:504 505 499
D:505 504 505
D:504 504 504
D:505 505 506
D:502 507 505
D:504 504 496
D:504 504 509
D:504 505 510
D:504 500 508
D:504 496 508
D:504 497 502
D:504 504 504
D:504 511 510
D:504 515 510
D:504 514 510
D:504 508 504
D:504 502 508
D:504 508 510
D:504 511 510
D:504 508 508
D:504 504 502
D:504 505 508
D:504 500 508
D:506 504 508
D:505 504 496
D:505 504 504
D:505 502 510
D:505 504 508
D:505 505 508
D:505 505 508
D:504 504 502
D:504 499 504
D:504 504 507
D:505 504 505
D:504 502 506
D:504 510 505
D:504 510 501
D:504 501 504
D:504 500 504
I:a b c
D:504 499 504
D:504 504 504
D:504 504 504
D:504 505 504
D:504 504 504
D:504 505 504
D:504 507 504
D:504 504 501
D:504 506 504
D:504 502 504
D:504 504 505
D:504 504 508
D:504 504 508
D:504 502 510
D:504 508 505
D:504 508 504
D:504 504 504
D:504 504 506
D:505 515 504
D:504 518 492
D:504 515 508
D:504 496 508
D:504 489 508
D:504 492 508
D:504 496 508
D:504 497 508
D:505 500 504
D:505 502 508
D:505 505 508
D:506 502 505
D:506 499 508
D:505 510 507
D:504 515 505
D:505 512 505
D:505 504 499
D:504 500 505
D:506 499 508
D:505 508 505
D:505 515 505
D:504 504 506
D:504 502 505
D:504 499 505
D:504 499 506
D:504 508 505
D:504 512 501
D:504 504 507
D:504 499 508
D:504 499 504
D:504 502 502
D:504 504 504
D:502 508 505
D:502 508 505
D:504 504 504
D:504 504 504
D:504 505 505
D:504 504 505
D:504 504 505
D:505 505 505
D:504 508 504
D:504 505 506
D:504 505 505
D:504 504 499
D:505 512 492
D:505 507 505
D:504 504 508
D:504 504 508
D:504 504 512
D:504 504 510
D:504 504 508
D:505 502 500
D:504 496 504
D:504 499 504
D:505 508 507
D:507 510 507
D:508 508 505
D:506 508 507
D:504 505 505
D:505 508 500
D:504 504 501
D:502 505 505
D:504 504 505
D:504 504 508
D:504 504 508
D:504 505 508
D:505 504 504
D:504 499 510
D:504 504 508
D:504 508 508
D:504 508 508
