462 502
D:531 496 472
D:499 570 496
D:456 508 532
D:487 466 512
D:519 467 486
D:526 536 465
I:a b c
D:460 548 528
D:468 473 521
D:508 463 496
D:527 499 465
D:494 574 492
D:454 512 534
D:483 464 513
D:518 464 488
D:527 528 465
D:475 568 511
D:457 486 527
D:498 462 504
D:527 472 474
D:515 558 475
D:462 544 528
D:475 472 524
D:513 463 498
D:532 499 465
D:496 574 497
D:457 511 536
D:488 466 518
D:524 466 492
D:527 533 465
D:473 568 512
D:460 486 529
D:499 463 508
D:528 472 476
D:515 560 480
D:460 540 531
D:474 472 523
D:512 463 497
D:530 500 467
D:496 576 498
D:455 508 536
D:487 463 513
D:519 467 489
D:527 537 467
D:476 568 518
D:463 483 528
D:504 462 504
D:531 476 476
D:517 565 480
D:463 542 529
D:480 473 523
D:518 463 494
D:536 504 460
D:496 576 494
D:457 504 529
D:488 462 510
D:520 464 483
D:526 536 464
D:472 566 513
D:460 484 526
D:499 460 504
D:527 476 474
D:511 563 478
D:455 540 531
D:472 472 520
D:510 463 498
D:529 504 465
D:489 574 499
D:452 504 532
D:487 463 512
D:519 467 486
D:523 543 467
D:469 568 518
D:460 483 529
D:504 462 508
D:529 480 480
D:515 568 486
D:462 538 536
D:480 470 524
D:516 462 500
D:536 504 467
D:496 575 499
D:460 504 534
D:494 463 511
D:528 467 484
D:531 543 467
D:476 563 518
D:464 483 527
D:505 462 504
D:531 476 472
D:513 572 480
D:460 536 531
D:480 468 519
D:515 462 496
D:531 508 463
D:489 576 492
D:453 504 527
D:489 463 504
D:524 467 480
D:527 545 460
D:470 563 512
D:463 483 521
D:504 462 497
D:530 477 467
D:511 568 476
D:457 536 527
D:476 467 515
I:a b c
D:524 467 480
D:527 544 463
D:472 566 515
D:464 480 523
D:505 462 497
D:531 480 464
D:511 568 473
D:456 534 528
D:476 466 515
D:512 462 491
D:530 508 462
D:490 576 502
D:456 502 536
D:492 460 515
D:527 465 487
D:528 543 470
D:472 563 520
D:465 480 527
D:508 462 504
D:531 483 470
D:508 573 480
D:455 529 528
D:478 465 518
D:516 463 496
D:533 515 463
D:489 577 500
D:460 500 532
D:496 462 510
D:527 465 481
D:527 547 467
D:467 564 520
D:465 476 521
D:504 460 496
D:529 483 462
D:504 569 472
D:451 532 524
D:476 468 513
D:513 464 489
D:527 515 457
D:483 577 497
D:452 502 531
D:490 463 511
D:524 465 481
D:521 547 464
D:463 560 520
D:462 476 531
D:504 463 505
D:529 485 473
D:504 572 481
D:453 527 536
D:478 463 520
D:515 462 497
D:529 518 463
D:480 574 504
D:452 496 540
D:492 460 522
D:524 465 494
D:520 543 476
D:463 556 531
D:464 476 538
D:507 460 513
D:531 486 475
D:507 569 486
D:457 523 540
D:482 467 527
D:518 465 501
D:531 516 464
D:486 574 504
D:456 492 537
D:496 462 519
D:526 470 486
D:521 551 468
D:464 560 526
D:465 481 531
D:504 466 504
D:526 492 466
D:498 571 476
D:448 523 530
D:476 467 519
D:515 467 496
D:527 519 456
D:480 572 496
D:455 500 531
D:494 467 508
D:524 470 478
D:519 551 460
D:463 555 518
D:465 478 526
D:505 467 504
D:529 492 463
D:497 572 476
D:451 524 531
D:480 468 519
D:513 467 496
D:526 520 456
D:476 568 499
D:454 489 531
D:494 463 513
D:527 475 483
D:520 555 467
I:a b c
D:457 521 537
D:484 470 523
D:519 468 496
D:529 523 457
D:480 568 499
D:456 492 531
D:494 462 508
D:524 474 480
D:515 552 463
D:457 550 524
D:464 478 529
