 455 487
D:531 512 478
D:486 585 519
D:455 502 527
D:492 455 499
D:524 460 480
D:524 547 484
D:465 569 527
D:463 478 516
D:505 451 493
D:531 480 472
D:506 576 496
D:452 536 527
D:476 464 504
D:513 460 483
D:530 515 470
D:483 586 513
D:455 499 524
D:492 457 497
D:524 460 476
D:521 550 481
D:463 565 527
D:465 480 517
D:508 457 492
D:531 480 470
D:504 579 499
D:454 532 531
D:480 463 508
D:516 457 485
D:531 515 472
D:483 583 518
D:455 499 532
D:496 457 504
D:527 458 480
D:522 553 484
D:463 568 527
D:464 476 519
D:508 454 494
D:531 480 472
D:505 579 502
D:455 528 531
D:480 462 509
D:516 454 486
D:529 516 474
D:480 583 516
D:454 497 526
D:496 460 499
D:526 460 476
D:520 552 486
D:463 563 528
D:468 473 516
D:510 452 491
D:534 480 472
D:505 579 499
D:457 528 531
D:484 463 508
D:519 456 480
D:529 520 467
D:480 588 512
D:455 497 520
D:494 461 496
D:521 464 472
D:515 560 481
D:458 568 526
I:a b c
D:476 462 505
D:514 455 481
D:527 520 472
D:480 583 515
D:456 499 524
D:496 459 498
D:527 462 473
D:520 558 481
D:462 563 527
D:468 473 513
D:508 456 491
D:530 483 467
D:499 580 499
D:452 527 528
D:480 463 507
D:516 458 484
D:528 522 473
D:478 585 520
D:459 496 531
D:497 456 504
D:531 463 480
D:524 560 492
D:467 562 534
D:473 472 519
D:512 454 494
D:534 487 472
D:499 583 504
D:454 524 530
D:483 461 505
D:519 459 483
D:529 524 473
D:480 583 519
D:457 496 525
D:497 457 498
D:528 463 473
D:520 560 487
D:463 562 531
D:472 475 515
D:511 459 487
D:531 492 464
D:496 585 499
D:452 524 526
D:481 463 501
D:519 460 480
D:528 526 472
D:476 583 519
D:456 494 521
D:496 457 496
D:526 463 470
D:515 563 486
D:459 560 527
D:467 473 513
D:508 460 489
D:531 493 472
D:497 583 504
D:454 520 529
D:483 462 505
D:519 460 481
D:526 527 473
D:472 578 519
D:457 488 524
D:499 455 500
D:527 463 480
D:516 564 492
D:460 556 534
D:472 472 518
D:512 457 492
D:532 496 472
D:496 583 508
D:455 515 531
D:486 458 504
D:519 454 481
D:527 528 476
D:473 577 524
D:457 484 521
D:498 455 496
D:527 465 472
D:513 563 492
D:460 555 531
D:472 470 508
D:511 460 483
D:529 499 465
D:496 584 506
D:455 514 526
D:488 459 499
D:521 457 476
D:527 536 473
D:472 577 524
D:462 480 522
D:504 455 497
D:530 467 476
D:514 568 496
D:460 548 534
D:475 469 513
D:512 456 491
D:532 499 472
D:492 584 510
D:452 511 528
D:486 456 504
D:520 460 480
I:a b c
D:511 566 492
D:456 551 531
D:472 472 513
D:513 457 487
D:533 500 470
D:492 587 508
D:455 511 527
D:487 457 502
D:521 462 480
D:526 540 480
D:472 576 526
D:461 483 519
D:501 455 496
D:527 470 472
D:510 570 494
D:457 544 531
D:476 469 512
D:515 459 488
D:531 504 472
D:488 588 511
D:451 508 527
D:487 460 504
D:520 462 480
D:524 542 480
D:469 574 526
D:461 484 523
D:504 456 496
D:527 469 473
D:510 574 496
D:455 545 534
D:476 470 511
D:513 457 487
D:530 504 472
D:489 585 511
D:454 508 527
D:487 460 504
D:519 460 480
D:519 539 476
D:465 574 524
D:460 482 519
D:501 459 496
D:527 476 472
D:508 575 496
D:455 543 531
D:476 470 512
D:513 460 487
D:531 508 472
D:489 585 511
D:455 508 526
D:492 460 504
D:521 460 480
D:524 542 480
D:468 576 524
D:463 483 519
D:504 457 496
D:529 475 472
D:510 576 494
D:456 543 529
D:476 467 510
D:513 460 487
D:529 508 468
D:487 587 508
D:454 506 524
D:489 460 499
D:522 462 477
D:523 547 480
D:467 572 524
D:463 480 516
D:504 455 492
D:529 472 470
D:508 577 496
D:457 539 531
D:480 467 511
D:518 457 486
D:534 510 472
D:488 585 512
D:456 504 525
D:492 455 498
D:524 457 476
D:524 547 480
D:468 568 526
D:465 476 516
D:504 454 491
D:527 476 470
D:504 579 496
D:452 534 530
D:476 463 508
D:511 459 481
D:526 516 470
D:478 588 510
D:451 501 519
D:489 459 496
D:519 460 473
D:517 552 480
D:460 568 527
D:463 476 520
D:504 453 496
D:529 480 473
D:504 576 501
D:455 531 531
I:a b c
D:496 451 499
D:526 462 476
D:522 551 483
D:467 566 530
D:470 473 515
