483 487
D:524 486 472
D:526 530 499
D:468 536 538
D:465 487 508
D:506 481 478
D:534 496 472
D:510 540 515
D:457 515 528
D:477 483 496
D:516 484 473
D:534 512 483
D:487 547 532
D:456 502 524
D:491 480 488
D:523 483 470
D:520 529 504
D:464 536 536
D:460 489 508
D:501 480 480
D:527 494 473
D:504 543 516
D:452 516 528
D:475 486 496
D:514 480 476
D:532 512 490
D:486 547 536
D:451 499 519
D:488 480 487
D:523 487 472
D:524 531 502
D:467 534 537
D:467 489 511
D:510 483 483
D:536 496 475
D:510 543 519
D:456 511 528
D:480 484 497
D:517 483 473
D:532 517 487
D:486 547 534
D:455 497 519
D:492 480 487
I:a b c
D:529 494 472
D:505 543 524
D:451 518 528
D:475 480 496
D:515 484 474
D:528 515 486
D:481 547 531
D:453 502 519
D:492 484 488
D:524 486 467
D:521 531 499
D:463 536 531
D:463 492 504
D:504 480 472
D:528 496 470
D:502 547 518
D:450 518 527
D:473 486 492
D:512 485 468
D:527 518 484
D:480 545 531
D:449 500 519
D:488 480 487
D:524 483 472
D:522 534 504
D:464 532 531
D:467 484 504
D:510 483 478
D:536 499 472
D:507 547 519
D:457 515 527
D:483 483 496
D:519 481 472
D:531 515 485
D:483 543 529
D:454 498 518
D:491 481 487
D:524 483 472
D:524 529 508
D:466 531 540
D:462 490 512
D:505 480 480
D:534 494 476
D:508 542 520
D:455 512 529
D:483 481 499
D:520 480 472
D:536 508 483
D:486 543 533
D:459 501 519
D:498 482 487
D:527 483 468
D:524 536 504
D:464 534 536
D:464 488 504
D:504 480 480
D:528 494 470
D:500 544 517
D:450 518 527
D:476 481 496
D:515 480 470
D:529 513 482
D:481 543 527
D:455 496 511
D:496 481 486
D:526 486 466
D:520 538 504
D:463 536 531
D:466 488 504
D:508 481 476
D:531 499 472
D:504 542 520
D:455 516 531
D:480 486 498
D:518 484 476
D:531 519 489
D:480 543 534
D:454 498 519
D:492 480 486
D:524 486 468
D:519 536 505
D:462 530 532
D:465 486 504
D:505 475 478
D:531 493 476
D:502 545 527
D:455 512 531
D:483 481 504
D:520 480 475
D:531 515 489
D:481 546 536
D:458 499 518
D:497 480 486
D:527 487 472
D:521 536 508
D:464 531 536
D:470 489 508
D:512 481 480
D:536 496 476
D:504 545 524
I:a b c
D:460 496 516
D:496 480 487
D:526 486 465
D:518 537 499
D:460 532 534
D:465 487 509
D:504 480 476
D:527 499 472
D:496 547 519
D:448 516 526
D:475 483 492
D:512 483 470
