4 504
D:505 504 504
D:508 505 504
D:508 504 504
D:508 504 504
D:508 504 504
D:508 504 504
D:508 504 504
D:508 504 504
D:508 504 508
D:510 504 508
D:510 504 508
D:510 504 505
D:510 504 504
D:510 504 507
D:511 506 506
D:510 505 504
D:508 504 504
I:a b c
D:508 504 504
D:508 507 504
D:508 507 504
D:508 504 504
D:510 504 504
D:508 505 504
D:508 504 504
D:508 504 505
D:508 504 502
D:508 505 504
D:508 504 504
D:504 504 501
D:505 504 504
D:508 504 504
D:508 504 501
D:505 505 500
D:506 505 499
D:506 504 502
D:506 504 502
D:505 504 502
D:505 505 504
D:507 504 504
D:508 504 504
D:507 505 502
D:506 507 500
D:507 508 504
D:508 504 504
D:508 504 505
D:509 505 504
D:510 507 504
D:508 506 504
D:508 505 502
D:508 504 504
D:510 506 505
D:509 504 506
D:510 504 506
D:511 502 506
D:510 504 506
D:508 504 504
D:508 505 506
D:510 504 505
D:511 501 504
D:508 506 504
D:508 505 505
D:508 504 505
D:508 504 504
D:508 502 502
D:507 502 504
D:508 504 504
D:508 504 504
D:508 504 504
D:508 505 504
D:508 507 507
D:509 505 504
D:508 504 504
D:508 504 504
D:508 504 504
D:505 507 502
D:504 505 500
D:504 505 499
D:504 504 501
D:504 505 501
D:504 505 504
D:505 508 502
D:507 504 504
D:507 505 502
D:507 505 504
D:505 505 504
D:507 505 502
D:507 505 499
D:507 504 502
D:507 508 502
D:507 505 500
D:508 504 502
D:508 504 504
D:508 505 504
D:508 508 504
D:508 505 504
D:508 504 502
D:508 504 504
D:509 504 507
D:510 504 508
D:511 504 505
D:510 504 507
D:510 505 507
D:508 505 507
D:510 504 505
D:508 504 504
D:510 504 504
D:508 504 504
D:510 505 504
D:508 504 504
D:508 504 504
D:508 506 504
D:508 510 504
D:505 508 504
D:508 504 504
D:508 504 504
D:508 504 504
D:508 504 504
I:a b c
D:508 504 504
D:508 504 500
D:506 504 499
D:507 505 500
D:505 505 500
D:504 504 499
D:504 504 499
D:505 504 500
D:505 507 504
D:506 505 502
D:508 504 502
D:508 504 504
D:508 505 502
D:506 505 502
D:507 504 502
D:508 504 502
D:508 504 502
D:505 504 504
D:508 504 505
D:508 504 504
D:508 504 502
D:505 504 502
D:505 505 504
D:506 504 504
D:508 504 505
D:510 504 508
D:511 505 508
D:510 508 508
D:510 505 508
D:510 504 505
D:509 504 506
D:510 504 505
D:511 504 506
D:508 504 507
D:508 504 504
D:508 504 504
D:508 505 504
D:508 505 505
D:508 505 504
D:508 505 500
D:508 506 504
D:508 508 504
D:508 505 504
D:508 504 500
D:505 505 499
D:504 505 500
D:504 504 499
D:504 504 504
D:505 504 499
D:505 507 504
D:505 507 501
D:505 504 501
D:505 504 501
D:507 504 502
D:505 505 502
D:505 505 504
D:505 504 504
D:508 504 502
D:508 505 504
D:507 508 504
D:508 506 504
D:508 504 504
D:508 505 504
D:508 504 504
D:508 504 504
D:507 504 504
D:508 504 504
D:508 504 504
D:510 505 507
D:510 508 508
D:511 505 508
D:511 504 508
D:511 505 506
D:508 505 506
D:509 507 508
D:510 504 505
D:508 505 504
D:508 505 504
D:508 506 507
D:508 504 504
D:508 502 504
D:508 504 504
D:508 505 505
D:509 505 504
D:508 504 504
D:508 504 504
D:508 505 505
D:508 508 504
D:510 504 504
D:506 504 502
D:505 504 499
D:504 504 499
D:504 504 502
D:504 504 501
D:505 504 500
D:505 506 499
D:505 505 504
D:505 504 502
D:508 504 499
D:508 504 500
I:a b c
D:508 508 502
D:508 506 504
D:508 508 504
D:508 504 504
D:508 504 504
D:508 505 504
D:508 505 504
D:507 504 504
D:508 504 504
D:507 504 505
D:508 505 508
D:510 504 509
D:510 502 508
D:508 508 504
D:508 505 505
D:510 505 508
D:510 504 508
D:508 504 504
D:508 504 504
D:508 504 504
D:510 504 504
D:508 504 504
D:509 505 504
D:510 508 504
D:508 508 504
D:508 508 508
D:510 508 506
D:508 505 502
D:504 505 499
D:504 506 499
D:504 505 497
D:504 505 499
D:507 505 502
D:505 504 502
D:505 505 502
D:508 504 499
D:508 504 499
D:508 505 500
D:506 508 504
D:507 506 504
D:506 504 502
D:508 504 502
D:508 505 502
D:508 506 504
D:508 504 504
D:507 504 504
D:508 504 504
D:508 508 504
D:508 506 504
D:508 504 505
D:508 504 504
D:508 504 504
D:508 504 505
D:507 504 504
D:508 504 502
D:507 504 500
D:507 506 504
D:508 505 504
D:507 504 505
D:510 502 506
D:510 504 508
D:511 504 508
D:510 504 508
D:510 504 508
D:509 504 504
D:510 504 505
D:508 508 510
D:510 505 505
D:508 504 504
D:508 506 504
