 505 504
D:508 506 504
D:508 505 504
I:a b c
D:508 505 508
D:510 505 508
D:510 504 510
D:510 504 508
D:510 501 507
D:510 504 508
D:510 508 508
D:509 506 508
D:509 502 504
D:508 504 504
D:508 505 505
D:510 508 505
D:508 504 504
D:508 499 504
D:508 502 504
D:508 505 504
D:508 505 505
D:508 504 505
D:508 502 504
D:508 504 504
D:508 508 504
D:508 505 504
D:508 504 504
D:505 504 499
D:504 505 499
D:504 507 499
D:505 505 504
D:507 505 502
D:505 505 502
D:507 508 502
D:507 508 502
D:508 505 500
D:507 504 500
D:507 505 504
D:508 508 504
D:508 508 504
D:508 500 502
D:505 500 500
D:505 504 500
D:505 504 502
D:505 504 502
D:505 504 504
D:508 504 505
D:508 506 508
D:510 504 510
D:511 502 507
D:509 502 504
D:509 504 505
D:508 507 505
D:510 504 502
D:508 504 504
D:508 504 504
D:508 505 504
D:507 507 504
D:506 504 504
D:505 504 504
D:508 504 504
D:508 508 504
D:508 507 505
D:508 505 504
D:508 507 504
D:507 506 504
D:508 505 504
D:505 505 501
D:505 501 500
D:505 504 504
D:505 504 500
D:504 504 501
D:504 504 499
D:505 502 504
D:506 504 500
D:506 506 499
D:505 507 500
D:508 505 502
D:508 505 501
D:507 504 504
D:506 506 504
D:508 505 504
D:507 500 502
D:508 504 502
D:508 505 504
D:508 506 504
D:508 505 504
D:508 504 502
D:508 504 504
D:508 505 504
D:508 504 504
D:508 504 504
D:510 504 508
D:510 505 508
D:511 504 508
D:510 504 508
D:510 502 505
D:509 504 504
D:508 507 502
D:508 508 505
D:508 508 504
D:508 506 504
D:508 508 504
D:508 510 505
I:a b c
D:508 508 504
D:508 504 502
D:508 505 504
D:508 504 505
D:508 505 504
D:506 504 502
D:507 502 502
D:506 504 502
D:506 505 502
D:504 505 499
D:504 504 500
D:504 502 500
D:505 502 500
D:506 504 504
D:505 504 500
D:505 502 499
D:505 504 499
D:506 508 501
D:506 508 502
D:506 504 502
D:507 504 501
D:505 504 502
D:505 506 504
D:508 508 505
D:508 504 502
D:508 504 502
D:508 504 502
D:508 505 502
D:507 504 502
D:508 504 504
D:508 504 504
D:508 504 508
D:508 505 508
D:510 504 508
D:511 504 508
D:508 504 505
D:508 507 508
D:509 504 508
D:510 504 504
D:508 504 504
D:508 508 504
D:508 506 504
D:508 504 504
D:508 504 504
D:508 504 504
D:508 505 504
D:508 505 504
D:508 504 504
D:508 500 502
D:508 504 500
D:506 505 504
D:508 505 504
D:507 506 500
D:504 505 499
D:504 508 502
