2 504
D:504 504 504
D:504 510 499
D:502 508 505
D:504 504 508
D:504 498 508
D:505 500 508
D:504 506 508
D:502 508 508
D:498 508 506
D:496 508 504
D:497 504 505
D:504 504 505
D:504 502 507
D:507 504 506
D:508 504 505
D:508 508 505
D:508 511 505
D:506 504 508
D:504 504 505
D:504 504 504
D:504 504 500
D:502 497 504
D:499 504 506
D:498 500 505
D:499 504 504
D:504 508 504
D:504 508 504
D:505 504 504
D:508 499 504
D:508 499 504
D:508 504 504
D:507 496 504
D:504 504 508
D:501 502 504
D:497 500 500
D:497 507 497
D:499 507 508
D:499 510 510
D:504 508 508
D:505 511 506
D:508 504 507
D:508 504 506
D:508 508 504
D:504 504 504
I:a b c
D:504 505 504
D:502 505 504
D:499 504 504
D:498 505 504
D:499 505 504
D:499 504 504
D:504 499 505
D:508 504 504
D:510 505 504
D:508 507 507
D:506 504 505
D:505 505 504
D:504 506 504
D:504 505 508
D:504 508 504
D:502 504 507
D:504 505 508
D:504 507 504
D:504 504 505
D:504 504 505
D:502 505 507
D:502 508 505
D:504 500 504
D:504 504 504
D:502 508 504
D:501 504 504
D:502 504 504
D:502 505 504
D:504 502 504
D:502 506 500
D:504 506 500
D:504 499 498
D:504 499 504
D:501 502 504
D:499 508 504
D:499 504 502
D:500 502 501
D:499 486 499
D:499 505 502
D:499 509 502
D:502 512 504
D:504 499 504
D:504 505 504
D:507 512 504
D:507 510 502
D:508 510 502
D:508 511 504
D:505 510 504
D:504 499 504
D:504 500 504
D:504 504 504
D:505 504 504
D:505 504 504
D:505 504 505
D:508 504 505
D:508 504 505
D:508 504 502
D:505 502 505
D:505 504 508
D:505 504 507
D:504 502 507
D:502 508 506
D:502 502 508
D:504 504 506
D:504 508 505
D:504 504 505
D:504 505 505
D:504 502 505
D:505 502 505
D:507 505 506
D:507 499 508
D:505 499 504
D:504 509 505
D:504 505 504
D:504 504 504
D:504 504 505
D:504 504 504
D:504 502 502
D:504 499 499
D:504 508 499
D:504 508 505
D:504 507 505
D:502 508 505
D:504 508 508
D:504 511 507
D:504 504 504
D:502 504 504
D:504 504 504
D:504 504 504
D:504 499 504
D:504 500 504
D:504 504 504
D:504 505 504
D:505 500 504
D:505 502 505
D:504 504 504
D:505 508 504
D:505 507 505
D:508 504 508
D:508 502 508
I:a b c
D:508 505 508
D:508 508 508
D:508 507 508
D:505 504 508
D:505 505 504
D:505 504 504
D:505 504 506
D:505 502 506
D:505 499 504
D:505 504 504
D:505 504 504
D:508 511 504
D:507 508 504
D:505 512 499
D:507 504 504
D:508 502 505
D:508 502 508
D:506 501 508
D:504 504 507
D:504 504 508
D:504 504 505
D:504 504 507
D:504 504 506
D:504 504 505
D:502 506 504
D:504 504 505
D:504 504 505
D:502 505 505
D:502 504 500
D:504 507 499
D:504 504 504
D:504 504 504
D:504 505 505
D:504 504 504
D:504 502 504
D:504 502 508
D:504 499 508
D:504 493 504
D:504 493 504
D:502 510 504
D:500 510 506
D:504 511 510
D:504 508 506
D:504 505 504
D:504 505 504
D:504 505 505
D:502 504 507
D:501 504 505
D:504 504 506
D:504 504 504
D:504 504 504
D:504 506 500
D:505 504 508
D:504 502 508
D:504 500 508
D:504 499 508
D:504 504 506
D:504 504 508
D:504 505 508
D:504 499 505
D:502 511 504
D:504 504 504
D:504 502 504
D:500 500 504
D:499 499 504
D:499 504 504
D:500 508 505
D:504 504 504
D:504 500 500
D:505 498 504
D:508 504 500
D:508 508 499
D:504 504 506
D:504 504 512
D:504 504 510
D:502 504 505
D:504 504 504
D:505 508 505
D:504 505 505
D:505 505 504
D:504 500 504
D:504 490 504
D:504 496 504
D:504 499 504
D:504 508 507
D:502 510 505
D:504 505 505
D:504 506 507
D:504 505 511
D:504 510 508
D:504 505 504
D:504 504 504
D:504 502 504
D:504 504 502
D:504 509 502
D:504 507 505
D:512 499 506
D:515 499 506
D:508 502 504
D:499 480 499
I:a b c
D:498 497 504
D:499 513 502
D:508 516 496
D:514 515 504
D:505 508 499
D:504 512 497
D:506 499 508
D:524 476 504
D:515 483 492
D:524 505 472
D:543 470 527
D:553 446 526
D:534 455 496
D:518 508 536
D:521 516 499
D:536 511 428
D:579 459 328
D:511 473 276
D:446 480 344
D:452 496 486
D:462 492 572
D:486 492 578
D:518 512 487
D:527 496 441
D:519 531 632
D:462 457 500
D:481 467 538
D:472 496 463
D:508 499 523
D:486 496 531
D:499 454 626
D:616 432 465
D:614 537 481
D:652 531 524
D:553 492 534
D:492 590 632
D:452 496 444
D:432 569 511
D:483 572 604
D:462 472 409
D:563 536 404
D:527 574 489
D:473 553 327
D:481 547 608
D:487 521 528
D:463 540 591
D:390 534 524
D:562 546 534
D:595 516 305
D:564 521 444
D:496 590 455
D:533 600 371
D:496 542 572
D:403 554 707
D:601 574 465
D:480 537 480
D:401 472 455
D:409 512 304
D:467 536 504
D:510 600 543
D:499 558 632
D:632 560 561
D:571 463 419
D:523 504 363
D:546 521 609
D:552 615 600
D:462 527 467
D:440 545 355
D:338 514 543
D:464 500 620
D:664 438 444
D:632 561 399
D:415 569 433
D:470 512 536
D:518 543 632
D:473 534 504
D:593 470 300
D:598 550 537
D:334 545 605
D:401 527 540
D:436 526 487
D:489 511 575
D:543 516 497
D:536 524 491
D:524 536 537
D:483 532 528
D:502 524 435
D:496 512 513
D:492 519 519
D:496 518 553
D:496 524 540
D:499 524 523
D:500 524 508
D:501 514 501
D:497 510 488
D:499 505 487
D:496 516 475
D:504 524 496
D:510 515 489
D:527 515 511
I:a b c
D:502 496 515
D:494 507 497
D:487 504 435
D:499 488 458
D:507 487 560
D:493 489 524
D:483 504 473
D:497 499 492
D:501 505 460
D:494 494 487
D:507 465 440
D:504 444 543
D:473 492 531
D:476 524 526
D:480 472 505
D:484 440 498
D:488 484 508
D:496 476 508
D:500 492 508
D:498 490 507
D:499 462 505
D:505 403 508
D:508 510 504
D:508 596 494
D:508 524 498
D:510 488 515
D:499 504 519
D:502 523 526
D:500 507 514
D:499 510 513
D:499 504 512
D:500 468 526
D:499 448 500
D:492 473 487
D:496 512 506
D:496 516 508
D:499 498 504
D:499 449 499
D:502 486 508
D:504 515 510
D:505 556 518
D:510 532 515
D:510 502 515
D:512 508 515
D:513 517 518
D:514 514 521
D:511 504 504
D:511 508 510
D:508 500 510
D:508 500 512
D:507 505 514
D:506 502 511
D:508 504 512
D:508 501 518
D:510 502 515
D:508 494 510
D:508 499 510
D:511 504 510
D:510 499 510
D:507 487 512
D:505 496 513
D:505 508 512
D:507 520 511
D:511 497 513
D:505 486 511
D:505 499 504
D:505 504 499
D:505 502 505
D:504 497 515
D:504 502 512
D:502 505 508
D:504 496 505
D:502 494 505
D:502 499 504
D:500 499 504
D:504 496 504
D:508 502 504
D:506 500 505
D:504 504 504
D:505 504 498
D:508 496 504
D:505 465 506
D:505 484 512
D:500 519 511
D:499 524 512
D:497 519 512
D:499 504 513
D:499 496 512
D:500 504 510
D:501 499 511
D:504 496 507
D:504 511 506
D:508 510 504
D:508 508 513
D:510 505 512
D:511 505 508
D:511 504 505
D:510 504 508
D:511 504 509
D:508 497 511
I:a b c
D:506 504 509
D:505 504 511
D:504 504 512
D:504 500 513
D:502 497 510
D:502 496 508
D:504 483 509
D:504 497 510
D:499 511 508
D:500 508 508
D:504 500 509
D:505 505 506
D:510 506 508
D:515 504 507
D:513 499 509
D:511 492 508
D:510 490 504
D:508 494 507
D:508 497 507
D:508 508 508
D:508 498 507
D:506 499 502
D:508 500 504
D:506 496 508
D:504 489 511
D:502 483 499
D:496 499 483
D:483 504 505
D:492 518 519
D:504 505 520
D:527 504 511
D:536 505 508
D:511 511 521
D:515 516 527
D:524 523 501
D:513 492 473
D:494 496 472
D:516 472 487
D:515 477 504
D:500 472 508
D:507 473 438
D:512 462 451
D:501 487 398
D:505 480 284
D:496 483 478
D:518 518 544
D:543 507 612
D:459 512 611
D:451 504 403
D:521 504 572
D:595 508 598
D:500 486 568
D:500 478 413
D:549 473 432
D:527 499 600
D:547 512 560
D:499 508 528
D:641 521 357
D:675 449 440
D:294 543 697
D:409 556 633
D:537 538 536
D:478 572 400
D:448 568 511
D:611 531 470
D:448 533 291
D:390 531 555
D:558 526 498
D:568 536 615
D:527 511 294
D:496 517 322
D:533 547 692
D:608 524 556
D:508 550 382
D:377 574 593
D:452 577 608
D:608 543 487
D:414 463 302
D:536 494 399
D:502 492 531
D:592 542 604
D:467 515 511
D:355 476 472
D:487 544 463
D:462 564 568
D:743 558 588
D:593 531 526
D:342 536 534
D:400 520 472
D:525 529 428
D:473 549 600
D:519 496 508
D:723 550 368
D:583 551 496
D:356 545 489
D:368 497 415
D:448 508 609
D:480 542 632
D:499 531 568
D:511 524 454
I:a b c
D:505 496 319
D:593 520 553
D:574 511 579
D:488 516 487
D:473 516 487
D:432 516 574
D:496 518 568
D:501 517 537
D:472 510 510
D:491 518 487
D:485 510 494
D:492 505 496
D:488 511 504
D:492 523 510
D:499 518 500
D:497 499 504
D:504 483 508
D:497 492 505
D:500 508 492
D:506 508 494
D:499 523 487
D:492 508 483
D:496 498 493
D:513 502 522
D:524 497 508
D:521 497 476
D:499 480 476
D:505 486 519
D:483 483 532
D:476 480 551
D:480 476 494
D:496 445 480
D:490 486 483
D:492 517 492
D:499 521 512
D:492 502 516
D:488 499 513
D:494 452 512
D:496 424 496
D:492 440 499
D:496 485 505
D:499 515 508
D:502 548 504
D:502 513 508
D:504 496 516
D:508 527 505
D:511 504 489
D:514 484 513
D:505 494 512
D:498 518 543
D:494 485 536
D:494 472 510
D:489 505 504
D:492 526 496
D:490 505 496
D:489 500 497
D:496 511 504
D:496 487 499
D:496 462 504
D:496 502 510
D:496 490 513
D:504 489 513
D:504 522 512
D:508 540 516
D:504 521 510
D:508 504 502
D:508 476 504
D:508 453 508
D:508 492 511
D:508 526 515
D:511 496 508
D:511 515 508
D:510 506 508
D:508 518 510
D:506 504 492
D:505 481 494
D:505 500 516
D:505 515 516
D:504 504 507
D:504 501 511
D:505 499 516
D:504 496 511
D:504 499 510
D:502 502 508
D:504 501 507
D:504 496 504
D:505 504 504
D:507 508 504
D:505 515 505
D:505 508 504
D:508 500 504
D:505 488 504
D:505 494 508
D:507 492 508
D:506 480 505
D:504 497 504
D:504 510 499
D:508 518 504
D:507 500 510
D:504 492 505
I:a b c
D:504 512 512
D:504 505 511
D:504 504 512
D:504 508 505
D:506 496 492
D:507 494 504
D:505 508 502
D:504 508 511
D:501 487 508
D:500 492 499
D:497 487 505
D:497 480 508
D:499 499 508
D:499 501 506
D:497 501 505
D:496 497 508
D:496 491 505
D:496 496 504
D:496 515 504
D:497 507 499
D:496 504 504
D:497 499 504
D:499 504 504
D:504 492 508
D:504 496 505
D:504 505 502
D:504 504 506
D:508 504 504
D:508 500 512
D:505 499 513
D:507 502 512
D:508 499 508
D:508 498 504
D:507 501 505
D:504 500 504
D:504 499 504
D:505 502 504
D:506 498 504
D:505 499 505
D:505 494 504
D:507 478 505
D:508 502 508
D:505 513 508
D:505 510 505
D:505 505 508
D:506 505 508
D:508 504 508
D:505 504 504
D:505 504 504
D:505 504 507
D:505 496 508
D:508 492 508
D:508 492 505
D:508 497 505
D:508 497 504
D:508 496 506
D:504 492 507
D:504 506 504
D:504 508 504
D:502 504 505
D:505 505 508
D:508 504 508
D:504 508 506
D:499 501 505
D:496 499 505
D:500 487 515
D:508 487 526
D:516 496 497
D:515 496 473
D:496 497 515
D:488 494 526
D:502 481 492
D:524 504 496
D:536 494 500
D:515 508 415
D:488 488 423
D:496 500 496
D:512 504 467
D:536 524 419
D:524 504 310
D:468 489 502
D:432 477 620
D:492 484 644
D:547 491 601
D:547 488 515
D:531 496 355
D:494 489 480
D:489 488 611
D:476 519 662
D:504 522 565
D:478 524 449
D:460 524 376
D:496 515 544
D:496 483 527
D:524 498 548
D:527 487 452
D:583 492 504
D:600 478 551
D:595 524 502
D:524 524 455
I:a b c
D:524 502 608
D:464 530 576
D:460 551 520
D:519 540 326
D:519 540 449
D:532 534 527
D:483 483 460
D:470 521 419
D:487 550 520
D:536 510 543
D:639 551 560
D:593 526 422
D:569 536 572
D:396 563 457
D:448 552 326
D:432 521 590
D:489 520 472
D:646 507 472
D:683 563 646
D:441 518 609
D:361 540 550
D:390 511 391
D:475 527 207
D:537 528 493
D:537 500 652
D:542 543 646
D:544 575 496
D:608 515 335
D:596 488 496
D:451 511 562
D:344 547 560
D:414 529 512
D:496 533 350
D:599 512 476
D:632 510 552
D:496 532 616
D:502 523 487
D:615 552 468
D:496 489 440
D:550 523 574
D:332 527 569
D:521 527 547
D:472 536 552
D:465 511 456
D:462 510 504
D:476 511 496
D:504 506 536
D:519 505 456
D:505 536 462
D:504 521 536
D:499 491 534
D:504 515 522
D:499 519 527
D:508 513 522
D:496 502 504
D:496 502 496
D:493 510 509
D:499 512 489
D:519 516 472
D:499 518 488
D:483 508 476
D:500 504 512
D:519 504 521
D:510 496 526
D:488 492 500
D:502 502 487
D:496 499 519
D:480 499 499
D:496 490 524
D:484 480 487
D:483 496 464
D:492 483 472
D:492 464 506
D:487 488 502
D:487 490 504
D:492 476 500
D:492 515 496
D:494 492 496
D:496 464 492
D:497 494 483
D:497 428 504
D:496 440 524
D:500 480 545
D:498 530 515
D:499 524 497
D:499 545 494
D:496 569 502
D:492 540 513
D:492 515 499
D:502 480 492
D:504 472 499
D:505 481 505
D:499 478 489
D:499 454 492
D:504 463 524
D:500 486 515
D:504 472 516
D:500 531 520
D:497 534 515
D:502 480 511
I:a b c
D:504 508 512
D:504 528 511
D:508 536 511
D:508 513 510
D:508 487 511
D:510 476 507
D:512 480 504
D:515 494 499
D:512 514 508
D:510 487 515
D:508 491 511
D:508 502 508
D:508 520 490
D:508 520 512
D:505 505 513
D:502 500 504
D:504 504 507
D:504 504 511
D:501 499 509
D:500 487 508
D:499 496 505
D:502 500 508
D:504 506 508
