529 480
D:464 527 528
D:467 488 518
D:508 485 494
D:534 496 472
D:504 540 500
D:454 512 531
D:480 483 507
D:516 483 483
D:530 511 472
D:481 540 515
D:455 497 526
D:494 484 499
D:524 489 474
D:521 532 482
D:463 531 526
D:465 487 517
D:504 482 492
D:529 496 468
D:504 539 496
D:454 513 531
D:480 483 510
D:516 486 489
D:532 512 476
D:486 542 519
D:457 497 527
D:496 484 499
D:524 488 473
D:523 529 480
D:467 529 527
D:470 486 521
D:510 484 497
D:536 498 476
D:510 539 504
D:460 510 534
D:486 481 513
D:523 486 488
D:536 514 475
D:487 540 515
D:460 496 527
D:497 483 499
D:527 487 476
D:524 527 480
D:465 527 527
D:465 484 519
D:508 484 492
D:529 496 470
D:504 540 498
D:452 513 531
D:480 488 508
D:515 489 484
D:529 519 472
D:480 540 513
D:454 499 522
D:492 487 496
D:521 491 472
D:517 528 480
D:460 531 523
D:463 486 515
I:a b c
D:515 483 481
D:529 519 472
D:481 540 514
D:455 500 527
D:492 483 500
D:524 487 473
D:520 527 480
D:463 528 527
D:467 487 516
D:508 480 489
D:531 496 467
D:505 540 496
D:455 512 531
D:481 484 508
D:518 488 487
D:531 515 472
D:483 543 512
D:455 499 529
D:494 480 504
D:526 486 483
D:522 524 481
D:467 527 527
D:469 488 521
D:508 485 496
D:531 498 470
D:505 540 496
D:455 514 532
D:480 486 511
D:515 487 487
D:531 513 468
D:484 542 512
D:457 497 526
D:496 483 502
D:524 484 476
D:521 529 480
D:464 531 527
D:465 491 521
D:507 487 496
D:529 500 467
D:504 537 489
D:454 514 527
D:480 487 508
D:515 487 483
D:530 512 465
D:483 540 508
D:456 499 524
D:496 485 500
D:524 488 477
D:520 531 476
D:465 534 524
D:464 492 522
D:504 483 496
D:528 496 472
D:504 536 490
D:455 512 531
D:480 483 512
D:518 483 487
D:531 508 467
D:484 542 508
D:455 501 528
D:492 483 504
D:523 488 480
D:521 527 478
D:465 528 528
D:467 486 526
D:505 481 499
D:530 496 473
D:504 538 492
D:455 511 534
D:480 486 515
D:515 486 492
D:528 515 470
D:481 545 508
D:451 502 530
D:489 484 505
D:520 489 480
D:519 527 473
D:462 529 524
D:463 487 523
D:504 483 496
D:526 496 464
D:499 540 483
D:451 512 529
D:478 487 515
D:513 489 487
D:526 515 464
D:480 540 505
D:454 497 528
D:491 484 504
D:519 494 480
D:516 529 472
D:463 531 519
D:463 488 520
D:504 486 499
D:527 500 472
D:499 539 489
D:452 511 534
D:480 484 519
D:514 487 496
D:527 515 472
I:a b c
D:462 528 527
D:463 492 527
D:504 485 502
D:527 502 472
D:502 540 488
D:454 511 528
D:480 486 512
D:515 487 487
D:528 512 467
D:483 536 508
D:460 496 534
D:496 480 511
D:526 487 486
D:520 529 476
D:464 531 526
D:467 488 527
D:505 486 500
D:528 499 470
D:504 540 487
D:455 514 531
D:480 483 513
D:514 483 489
D:527 513 463
D:482 538 502
D:455 498 526
D:492 488 502
D:519 493 472
D:515 532 465
D:460 531 518
D:464 489 519
D:504 485 493
D:527 499 465
D:502 540 486
D:455 512 529
D:478 481 515
D:513 487 492
D:527 512 470
D:483 542 511
D:456 504 534
D:494 487 510
D:524 492 483
D:521 531 476
D:467 531 525
D:468 489 524
D:508 483 499
D:532 496 472
D:508 537 488
D:456 515 532
D:480 487 518
D:515 484 496
D:528 513 472
D:484 543 514
D:457 500 540
D:496 483 516
D:524 487 488
D:524 526 483
D:467 527 536
D:467 489 536
D:507 483 508
D:531 499 478
D:510 537 492
D:457 514 536
D:480 487 519
D:515 487 494
D:529 510 468
D:486 540 504
D:456 499 531
D:492 483 508
D:520 485 480
D:520 527 472
D:464 524 520
D:463 487 521
D:502 487 496
D:524 500 466
D:501 540 481
D:454 517 527
D:476 484 513
D:512 486 488
D:527 511 467
D:483 537 504
D:455 499 528
D:492 481 504
D:521 492 480
D:521 531 472
D:466 534 521
D:467 488 523
D:506 483 497
D:531 496 470
D:505 537 486
D:457 512 531
D:480 484 516
D:515 486 492
D:528 508 467
D:483 538 506
D:454 496 534
D:492 481 515
D:524 489 492
D:524 527 483
D:469 527 532
D:467 483 531
I:a b c
D:519 487 499
D:534 512 474
D:487 538 506
D:460 496 530
D:496 480 510
D:526 487 481
D:524 527 470
D:470 528 524
D:468 489 526
D:507 481 499
D:527 499 468
D:504 536 483
D:455 515 531
D:476 486 515
D:512 486 488
D:526 514 460
D:480 542 497
D:454 499 523
D:492 484 502
D:521 483 476
D:520 526 470
D:465 536 519
D:465 491 520
D:504 487 496
D:527 494 465
D:504 532 483
D:455 521 531
D:480 492 516
D:515 489 489
D:528 510 463
D:484 526 502
D:456 470 527
D:496 467 504
D:524 513 480
D:520 556 472
D:463 543 524
D:466 489 524
D:504 483 492
D:526 473 462
D:501 472 488
D:457 504 542
D:483 480 524
D:518 553 494
D:531 572 469
D:486 569 511
D:460 496 536
D:499 458 511
D:526 477 486
D:524 551 480
D:467 540 526
D:466 492 523
D:505 474 496
D:524 470 470
D:506 556 489
D:457 520 534
D:483 467 520
D:516 483 492
D:531 508 460
D:485 528 500
D:446 487 524
D:483 473 508
D:517 472 481
D:513 529 472
D:462 540 524
D:465 487 521
D:504 488 491
D:527 532 467
D:500 547 488
D:455 476 527
D:478 446 510
D:513 480 480
D:527 536 463
D:480 566 515
D:456 536 536
D:489 449 508
D:523 435 482
D:519 487 472
D:468 572 531
D:470 487 529
