9 519
D:504 465 492
D:530 476 470
D:512 580 493
D:460 546 533
D:478 456 515
D:518 444 492
D:536 492 472
D:492 577 508
D:457 492 527
D:492 438 502
I:a b c
D:532 448 469
D:513 556 491
D:460 527 531
D:480 444 511
D:516 437 487
D:534 488 470
D:492 575 511
D:455 492 529
D:489 440 507
D:523 440 487
D:527 526 480
D:472 563 524
D:460 465 519
D:500 440 496
D:527 456 472
D:507 564 492
D:453 536 531
D:476 453 515
D:515 448 494
D:536 504 472
D:487 591 511
D:455 508 529
D:492 460 505
D:525 463 480
D:526 560 480
D:472 587 528
D:467 489 525
D:507 467 496
D:532 483 472
D:513 591 496
D:460 553 531
D:480 480 511
D:516 465 489
D:534 518 472
D:489 600 508
D:455 511 527
D:494 460 504
D:527 458 480
D:527 547 476
D:470 574 524
D:465 472 519
D:504 446 494
D:528 463 464
D:505 569 489
D:454 527 526
D:476 448 505
D:515 435 483
D:530 488 467
D:486 562 510
D:454 467 524
D:488 404 499
D:521 399 475
D:521 497 477
D:464 537 524
D:462 454 517
D:504 440 492
D:530 470 469
D:505 583 496
D:455 543 529
D:480 467 508
D:516 460 483
D:532 521 472
D:487 600 515
D:457 507 524
D:496 460 497
D:527 464 480
D:526 563 487
D:470 585 531
D:465 489 520
D:505 465 496
D:533 492 476
D:510 596 502
D:457 550 531
D:481 470 508
D:520 467 487
D:536 527 472
D:486 606 516
D:460 507 524
D:496 463 498
D:527 467 475
D:524 568 483
D:466 584 527
D:467 485 519
D:506 463 492
D:532 487 468
D:504 592 494
D:452 545 526
D:476 470 507
D:515 464 483
D:531 527 470
D:481 608 511
D:454 518 521
D:492 476 496
D:524 487 473
D:519 588 478
D:462 604 526
D:463 509 515
D:504 487 490
D:527 514 467
D:502 611 496
I:a b c
D:454 519 526
D:492 472 499
D:524 468 476
D:519 563 481
D:463 568 527
D:467 470 516
D:508 445 492
D:531 470 467
D:504 575 497
D:454 520 529
D:481 446 508
D:519 438 487
D:536 500 475
D:481 575 520
D:457 478 529
D:496 435 504
D:527 443 480
D:524 543 488
D:466 556 534
D:472 460 524
D:510 440 496
D:533 472 473
D:504 579 502
D:455 518 528
D:481 449 506
D:519 444 483
D:534 512 473
D:483 582 515
D:457 487 525
D:496 445 502
D:527 454 476
D:516 561 480
D:457 572 526
D:463 472 518
D:507 455 492
D:529 487 468
D:499 596 498
D:451 537 527
D:481 469 505
D:516 467 483
D:529 540 472
D:480 608 515
D:455 511 522
D:494 472 496
D:524 477 472
D:519 580 483
D:462 584 527
D:467 489 517
D:510 465 492
D:533 494 468
D:504 602 499
D:455 540 531
D:484 467 508
D:519 460 483
D:529 531 472
D:480 593 517
D:456 496 526
D:496 457 497
D:526 463 478
D:520 564 489
D:463 568 536
D:470 472 521
D:511 455 496
D:534 484 474
D:502 589 504
D:452 524 531
D:482 458 510
D:518 453 486
D:528 524 472
D:476 587 520
D:456 492 527
D:496 454 501
D:524 460 473
D:515 566 488
D:460 560 531
D:467 465 517
D:507 450 490
D:529 487 472
D:496 585 500
D:449 516 526
D:480 451 504
D:514 448 480
D:524 519 472
D:472 576 516
D:454 478 520
D:494 442 496
D:524 451 472
D:513 553 484
D:458 550 528
D:468 457 512
D:507 444 488
D:527 483 468
D:492 580 504
D:449 511 527
D:480 446 504
D:515 442 480
D:526 521 472
D:473 575 519
D:457 480 521
D:496 446 494
I:a b c
D:530 485 467
D:496 584 502
D:455 513 529
D:487 449 508
D:524 448 486
D:531 526 480
D:478 580 523
D:460 480 524
D:502 448 499
D:531 457 474
D:520 563 487
D:464 554 531
D:476 462 515
D:515 444 492
D:534 484 472
D:499 584 505
D:455 513 528
D:484 451 508
D:519 449 483
D:527 527 476
D:476 579 520
D:460 475 520
D:499 448 491
D:527 457 465
D:513 568 483
D:459 552 524
D:472 462 508
D:510 451 487
D:529 492 466
D:494 591 502
D:451 519 527
D:483 455 504
D:519 452 480
D:527 534 472
D:473 588 520
D:460 488 521
D:499 454 496
D:527 463 472
D:513 574 487
D:457 560 529
D:472 468 513
D:511 455 489
D:531 498 470
D:494 595 505
D:451 520 529
D:485 460 509
D:524 456 487
D:530 540 480
D:477 588 527
D:463 483 527
D:504 452 500
D:531 466 478
D:515 579 496
D:460 560 536
D:476 472 515
D:515 460 491
D:532 504 470
D:492 598 505
D:455 515 527
D:487 458 504
D:521 459 481
D:526 544 476
D:472 588 523
D:461 487 519
D:499 457 492
D:526 473 467
D:510 579 487
D:456 556 529
D:476 470 511
D:513 459 485
D:531 505 465
D:488 600 504
D:451 516 524
D:486 460 499
D:519 460 478
D:523 544 474
D:467 587 521
D:457 486 520
D:499 455 496
D:527 472 472
D:508 580 491
D:456 552 529
D:475 467 512
D:514 456 488
D:532 508 472
D:492 595 509
D:455 510 527
D:492 456 502
D:524 457 478
D:526 547 481
D:472 581 531
D:463 482 526
D:505 455 500
D:533 472 476
D:513 577 497
D:460 546 534
D:480 464 515
D:521 454 492
D:536 507 472
D:492 591 512
I:a b c
D:464 478 520
D:505 452 496
D:529 470 470
D:508 577 496
D:453 543 531
D:472 462 511
D:511 455 484
D:527 508 464
D:482 591 508
D:449 505 526
D:487 454 499
D:519 455 474
D:520 547 472
D:463 576 521
D:460 478 515
D:502 454 491
D:528 472 467
D:505 579 492
D:454 540 529
D:474 460 508
D:512 454 485
D:529 510 470
D:484 588 511
D:454 498 526
D:492 449 499
D:523 453 476
D:523 548 480
D:465 571 526
D:463 470 516
D:504 448 492
D:530 472 470
D:505 581 497
D:454 531 531
D:480 455 513
D:519 448 491
D:534 508 475
D:487 583 518
D:460 496 529
D:496 448 504
D:529 452 478
D:527 551 482
D:470 568 527
D:470 470 519
D:510 448 492
D:534 473 470
D:507 581 496
D:456 529 529
D:480 455 508
D:516 448 486
D:529 510 472
D:482 586 512
D:455 494 521
D:492 453 497
D:526 455 476
D:523 555 480
D:463 568 524
D:464 472 514
D:505 451 491
D:528 478 467
D:499 583 494
D:451 534 528
D:478 459 508
D:514 451 484
D:527 518 470
D:480 588 513
D:454 496 524
D:492 452 499
D:523 460 476
D:518 561 480
D:462 572 527
D:464 472 516
D:505 452 491
D:528 481 469
D:500 588 496
D:452 531 528
D:480 455 505
D:515 453 486
D:531 521 476
D:483 591 520
D:459 497 531
D:497 454 504
D:527 457 480
D:520 561 486
D:463 572 532
D:467 473 519
D:508 454 496
D:531 483 472
D:502 592 500
D:452 532 531
D:481 460 508
D:518 455 486
D:531 527 472
D:480 596 518
D:457 499 527
D:496 455 499
D:524 462 472
D:515 563 480
D:460 572 528
D:467 472 515
D:506 454 488
I:a b c
D:528 524 469
D:480 591 513
D:454 494 519
D:494 456 496
D:523 463 472
D:514 568 480
D:457 573 524
D:464 473 514
D:505 457 490
D:529 491 468
D:499 595 499
D:454 532 528
D:481 461 507
D:517 457 483
D:528 526 472
D:476 591 516
D:455 496 524
D:496 457 499
D:524 463 473
D:515 566 483
D:460 568 528
D:467 470 515
D:508 451 492
D:531 487 474
D:500 590 508
D:455 527 536
D:486 456 512
D:521 451 489
D:532 526 477
D:480 585 521
D:460 487 526
D:499 452 500
D:531 460 476
D:520 564 486
D:463 564 529
D:470 470 516
D:508 455 492
D:533 489 470
D:502 591 504
D:455 527 531
D:484 459 506
D:519 454 481
D:529 527 470
D:480 587 518
D:459 489 523
D:496 451 496
D:526 459 472
D:518 564 481
D:460 558 524
D:465 468 512
D:507 452 489
D:528 486 467
D:494 583 499
D:448 524 529
D:487 452 504
D:514 451 483
D:524 526 473
D:474 582 518
D:459 483 521
D:498 448 499
D:527 457 475
D:524 566 486
D:472 558 531
D:472 460 515
D:504 448 492
D:548 488 470
D:513 585 500
D:465 515 532
D:470 451 511
D:524 448 487
D:529 522 480
D:481 583 527
D:496 486 531
D:512 455 504
D:521 460 480
D:508 568 496
D:499 561 536
D:467 465 521
D:494 448 492
D:524 481 472
D:499 583 502
D:430 524 532
D:480 460 511
D:524 455 487
D:560 531 475
D:499 584 516
D:481 483 519
D:496 452 498
D:487 464 473
D:512 575 484
D:470 560 527
D:444 464 513
D:515 453 488
D:568 486 468
D:504 595 502
D:451 520 524
D:448 449 508
D:487 449 483
D:393 540 480
D:488 588 526
I:a b c
D:582 465 518
D:643 440 486
D:543 487 465
D:467 590 496
D:541 524 527
D:481 450 508
D:502 455 490
D:518 536 480
D:396 608 527
D:432 487 528
D:558 450 504
D:572 457 476
D:448 574 487
D:433 560 536
D:399 476 528
D:436 460 504
D:624 492 480
D:540 580 508
D:441 531 543
D:676 460 521
D:327 463 496
D:510 497 476
D:480 601 529
D:321 483 525
D:577 448 496
D:654 467 477
D:391 569 483
D:480 563 538
D:355 487 527
D:499 455 504
D:492 492 480
D:457 611 514
D:470 524 537
D:465 464 511
D:605 453 494
D:536 540 478
D:448 591 517
D:460 496 520
D:605 463 496
D:600 468 473
D:437 579 483
D:266 575 524
D:432 476 508
D:543 456 483
D:519 496 461
D:480 608 494
D:459 531 515
D:490 465 491
D:478 452 473
D:502 556 462
D:496 608 505
D:591 481 511
D:441 456 487
D:432 484 464
D:412 583 480
D:417 572 523
D:560 466 515
D:512 456 487
D:504 506 456
D:483 601 488
D:579 537 534
D:451 472 516
D:504 448 487
D:540 536 472
D:441 585 521
D:440 497 534
D:492 462 508
D:539 472 480
D:504 588 482
D:462 536 527
D:460 469 519
D:514 463 487
D:636 510 461
D:511 604 499
D:400 524 534
D:432 460 511
D:467 463 488
D:536 544 465
D:481 594 524
D:460 494 526
D:537 465 510
D:560 480 472
D:486 584 481
D:433 562 528
D:437 473 514
D:499 455 492
D:527 499 463
D:510 591 497
D:494 519 527
D:473 468 505
D:496 463 481
D:519 553 472
D:499 591 515
D:480 489 520
D:484 455 496
D:502 466 467
D:496 568 480
D:455 558 527
D:460 465 512
D:483 452 489
I:a b c
D:518 543 466
D:468 585 515
D:460 483 521
D:521 452 496
D:521 457 476
D:511 585 492
D:454 551 534
D:473 460 519
D:523 454 497
D:532 496 475
D:489 592 508
D:463 510 534
D:489 456 512
D:512 455 487
D:532 545 476
D:487 579 520
D:467 476 526
D:476 441 497
D:508 472 472
D:496 584 487
D:448 552 528
D:483 462 512
D:521 455 487
D:526 507 462
D:476 595 510
D:449 512 534
D:487 455 510
D:523 451 481
D:515 545 475
D:476 583 524
D:455 480 521
D:504 448 494
D:530 467 468
D:508 583 487
D:454 548 531
D:476 463 515
D:511 451 496
D:527 508 473
D:476 595 512
D:451 508 532
D:489 455 510
D:525 454 484
D:513 551 480
D:465 579 527
D:463 483 526
D:499 455 500
D:527 472 472
D:505 583 487
D:452 541 531
D:481 463 519
D:518 452 496
D:536 510 473
D:487 590 512
D:457 499 532
D:496 452 508
D:527 454 482
D:529 545 480
D:467 572 527
D:463 473 524
D:504 448 499
D:527 467 472
D:504 579 496
D:449 538 536
D:473 457 513
D:512 444 492
D:527 515 472
D:480 595 511
D:448 499 524
D:486 455 502
D:518 457 473
D:515 553 472
D:457 575 519
D:458 478 516
D:499 452 492
D:525 476 467
D:499 583 492
D:449 537 528
D:472 458 508
D:511 448 483
D:527 508 472
D:480 590 511
D:454 499 524
D:489 455 502
D:520 459 476
D:519 560 478
D:462 568 524
D:463 472 518
D:504 451 492
D:529 478 470
D:504 583 496
D:455 531 527
D:480 457 510
D:520 454 490
D:536 519 475
D:486 595 519
D:460 488 530
D:499 453 502
D:528 459 480
D:524 563 483
D:466 571 527
I:a b c
D:483 463 513
D:520 456 489
D:536 515 476
D:486 580 521
D:458 500 529
D:497 457 502
D:530 460 480
D:527 555 483
D:468 566 527
D:466 472 519
D:506 452 494
D:531 480 472
D:505 588 504
D:455 536 531
D:483 460 505
D:519 455 483
D:536 512 467
D:484 584 512
D:458 496 523
D:497 454 496
D:527 462 472
D:524 553 478
D:466 572 524
D:471 476 518
D:511 454 492
D:536 480 467
D:505 590 496
D:457 536 527
D:483 463 504
D:519 455 482
D:531 518 468
D:483 585 510
D:460 497 522
D:497 457 497
D:527 464 474
D:524 566 485
D:467 570 532
D:473 473 518
D:512 451 494
D:536 481 470
D:505 591 500
D:457 529 531
D:483 463 511
D:520 454 486
D:532 524 470
D:481 593 515
D:460 493 524
D:499 452 499
D:529 465 476
D:520 569 486
D:463 575 529
D:470 478 519
D:511 458 492
D:532 482 470
D:502 588 496
D:455 527 526
D:481 458 504
D:517 455 483
D:529 524 468
D:480 591 514
D:456 496 524
D:496 454 499
D:527 456 473
