488 499
D:504 480 465
D:529 491 470
D:511 540 543
D:460 519 536
D:480 486 487
D:515 487 458
D:531 510 484
D:487 540 550
D:455 504 519
D:491 484 480
D:522 487 462
D:524 526 515
D:467 536 552
D:463 492 502
D:504 483 464
D:527 492 463
D:505 540 539
D:456 519 536
D:480 486 485
D:513 487 460
D:527 513 488
D:486 542 552
D:456 497 518
D:492 483 472
D:524 487 457
D:524 526 516
D:470 537 552
D:467 493 504
D:510 484 472
D:532 496 468
D:507 543 540
D:455 518 537
D:480 486 487
D:518 483 460
D:532 509 492
D:489 540 556
D:463 496 518
D:499 480 476
D:528 487 457
D:527 529 519
D:472 536 551
D:472 492 499
D:508 486 467
D:531 496 467
D:505 540 540
D:454 518 533
D:478 486 483
D:512 486 460
D:527 513 489
D:481 546 555
D:456 504 516
D:492 486 474
D:521 492 454
D:518 532 515
D:462 533 545
D:463 492 496
D:504 486 462
D:524 496 465
D:499 540 541
D:454 515 534
D:478 484 483
D:515 487 457
D:528 512 492
D:486 542 554
I:a b c
D:468 488 498
D:508 483 464
D:529 491 467
D:505 540 540
D:459 515 531
D:482 481 481
D:516 487 456
D:528 515 490
D:483 545 552
D:455 502 515
D:492 484 472
D:522 486 460
D:521 527 524
D:467 531 558
D:468 489 504
D:508 483 468
D:531 496 472
D:508 543 543
D:457 516 536
D:483 484 484
D:519 486 462
D:534 512 492
D:488 543 554
D:460 499 517
D:496 481 473
D:526 487 459
D:524 528 519
D:467 530 550
D:467 483 499
D:505 478 466
D:529 499 472
D:500 543 540
D:452 518 531
D:480 485 483
D:515 487 459
D:527 515 492
D:480 540 550
D:452 497 511
D:492 484 470
D:521 487 457
D:515 531 519
D:461 531 545
D:462 489 496
D:500 484 463
D:525 499 470
D:497 543 542
D:451 516 534
D:478 486 483
D:513 481 456
D:526 514 493
D:480 540 551
D:456 497 511
D:494 481 472
D:522 489 456
D:518 528 523
D:464 529 550
D:472 490 498
D:510 484 467
D:534 498 475
D:505 542 547
D:461 513 534
D:487 481 486
D:520 483 460
D:531 514 496
D:484 540 556
D:462 496 514
D:497 480 472
D:527 485 460
D:520 529 524
D:467 527 550
D:472 482 496
D:510 473 463
D:531 504 476
D:504 544 545
D:456 516 534
D:484 489 486
D:518 487 459
D:528 513 496
D:478 546 551
D:457 499 508
D:494 487 467
D:521 492 455
D:512 536 519
D:457 528 543
D:467 483 492
D:505 487 465
D:526 505 473
D:496 544 543
D:451 508 531
D:481 483 483
D:518 487 455
D:527 498 496
D:478 537 547
D:456 505 507
D:496 487 466
D:524 492 458
D:518 547 524
D:463 540 544
D:472 486 496
D:508 487 463
I:a b c
D:529 516 496
D:480 527 556
D:463 504 510
D:502 486 476
D:529 481 467
D:519 527 527
D:463 496 550
D:472 473 497
D:511 511 467
D:531 519 478
D:499 558 550
D:454 523 534
D:483 484 481
D:521 483 460
D:531 526 500
D:481 546 555
D:462 499 511
D:500 481 472
D:528 476 462
D:520 531 531
D:464 531 548
D:472 487 496
D:504 482 455
D:528 497 467
D:496 539 542
D:454 519 526
D:483 483 475
D:515 487 463
D:524 517 508
D:473 556 544
D:455 511 483
D:496 481 464
D:526 472 472
D:516 532 532
D:462 542 544
D:472 470 492
D:508 505 460
D:527 526 478
D:494 551 548
D:450 508 522
D:484 476 478
D:518 472 457
D:527 528 497
D:478 500 549
D:460 517 505
D:496 515 465
D:523 504 472
