 504 524
D:488 484 490
D:524 483 473
D:527 524 504
D:472 536 536
D:461 492 508
D:504 480 480
D:530 494 470
D:511 542 515
D:455 520 531
D:472 487 496
D:511 483 472
D:529 508 480
D:488 543 529
D:451 504 521
D:486 486 487
D:520 483 467
D:524 527 499
I:a b c
D:457 523 531
D:473 488 497
D:513 483 472
D:531 510 481
D:490 545 531
D:452 504 520
D:489 480 494
D:524 481 472
D:527 527 498
D:472 536 540
D:463 491 513
D:504 481 486
D:532 492 473
D:515 537 520
D:460 519 536
D:477 486 502
D:515 480 476
D:536 509 484
D:494 543 532
D:457 502 519
D:492 483 487
D:524 483 467
D:529 521 497
D:472 530 536
D:463 492 510
D:504 480 480
D:531 496 472
D:511 542 519
D:455 521 536
D:473 483 502
D:513 484 476
D:530 514 480
D:487 545 527
D:449 497 515
D:486 487 486
D:520 486 465
D:524 523 498
D:469 540 534
D:460 487 505
D:500 483 480
D:528 496 472
D:510 545 516
D:456 526 532
D:473 488 496
D:512 483 472
D:531 508 483
D:489 547 532
D:454 502 520
D:489 483 489
D:524 483 468
D:526 522 499
D:467 536 536
D:460 492 508
D:500 481 481
D:527 496 473
D:510 541 520
D:455 521 540
D:476 486 504
D:515 472 481
D:536 508 489
D:492 543 536
D:457 497 524
D:494 483 492
D:527 483 472
D:528 529 500
D:472 531 537
D:463 492 510
D:505 481 480
D:529 496 470
D:509 542 520
D:454 516 533
D:473 487 499
D:512 486 473
D:531 511 486
D:487 543 532
D:451 504 515
D:487 483 483
D:521 486 470
D:524 527 498
D:467 534 534
D:460 492 504
D:501 483 478
D:529 496 468
D:508 543 516
D:455 519 529
D:476 486 496
D:513 481 472
D:529 510 483
D:486 545 531
D:452 499 518
D:488 483 484
D:520 485 467
D:523 527 500
D:467 536 536
D:463 491 505
D:504 484 480
D:531 496 472
D:510 543 519
D:456 517 528
D:478 486 496
I:a b c
D:524 487 467
D:524 529 500
D:467 536 536
D:463 492 513
D:505 480 484
D:534 492 480
D:512 540 526
D:462 516 536
D:483 484 502
D:521 480 475
D:537 510 486
D:492 543 537
D:460 504 521
D:492 482 487
D:526 486 470
D:526 531 504
D:467 536 536
D:462 492 508
D:504 481 480
D:529 492 472
D:508 543 518
D:455 520 531
D:476 487 492
D:512 483 465
D:528 508 476
D:487 547 531
D:454 504 515
